lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
1.0,piml-conservation,large,67074,1024,11,202,nan,0.19610442221164703,0.21286533772945404,0.19592954218387604,0.17451541125774384,0.18717052042484283,0.17519733309745789,-1,0.011541128158569336
1.0,piml-conservation,large,67074,1024,11,303,success,0.0010713508818298578,0.0011315866140648723,0.0009508451912552118,8.531904313713312e-06,9.415894965059124e-06,5.722855348722078e-06,218,7.07534122467041
1.0,piml-conservation,large,67074,128,11,101,success,0.0033240511547774076,0.003529719077050686,0.0014324935618788004,0.00014019571244716644,0.00014238653238862753,1.4854023902444169e-05,399,5.451711893081665
1.0,piml-conservation,large,67074,128,11,202,success,0.0030857152305543423,0.0033428750466555357,0.0011671916581690311,0.00013511217548511922,0.00014673614350613207,1.42875451274449e-05,398,5.42209529876709
1.0,piml-conservation,large,67074,128,11,303,success,0.002652126830071211,0.002905710134655237,0.0008721908088773489,0.00010008983372244984,0.00011675219866447151,4.151711891609011e-06,399,5.256145000457764
1.0,piml-conservation,large,67074,4096,11,101,success,0.0007299481658264995,0.0007539323414675891,0.000674982147756964,3.4836987197195413e-06,3.609530949688633e-06,3.0445355605479563e-06,148,14.022915601730347
1.0,piml-conservation,large,67074,4096,11,202,nan,0.15168216824531555,0.16540789604187012,0.15606045722961426,0.11212935298681259,0.12009820342063904,0.11595091223716736,-1,0.01425027847290039
1.0,piml-conservation,large,67074,4096,11,303,success,0.000955927767790854,0.0010082863736897707,0.0009503694018349051,6.489343832072336e-06,6.783814114896813e-06,6.1227442529343534e-06,46,6.279852628707886
1.0,piml-conservation,small,4482,1024,11,101,success,0.002601322252303362,0.002663077786564827,0.002316862577572465,3.957784065278247e-05,4.1652026993688196e-05,3.1725943699711934e-05,392,7.432290315628052
1.0,piml-conservation,small,4482,1024,11,202,success,0.002118173288181424,0.002190612955018878,0.0018434635130688548,2.9774995709885843e-05,3.0803301342530176e-05,2.1478539565578103e-05,396,7.754788875579834
1.0,piml-conservation,small,4482,1024,11,303,success,0.0023785235825926065,0.002413235604763031,0.002079729223623872,3.338141686981544e-05,3.359805850777775e-05,2.4597286028438248e-05,398,8.555591821670532
1.0,piml-conservation,small,4482,128,11,101,success,0.006384500302374363,0.006457285024225712,0.004531519953161478,0.0004175719222985208,0.00042337802005931735,0.00022800813894718885,399,3.876662015914917
1.0,piml-conservation,small,4482,128,11,202,success,0.011331316083669662,0.01165670994669199,0.008573070168495178,0.0010576664935797453,0.0011095642112195492,0.0006215656758286059,399,3.8598709106445312
1.0,piml-conservation,small,4482,128,11,303,success,0.008191907778382301,0.00860668160021305,0.005507129710167646,0.0005672816769219935,0.0006287277210503817,0.00020849064458161592,399,4.127777338027954
