model_name,is_physics_informed,physics_prior,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
piml,True,midpoint,tiny,"32,32",1218,8192,2,2,0.0,0.0,0.01482769986614585,0.00020475531696649506,0.0001447838731110096,0.014902705326676369,0.00042602034474811687,0.0003012418746948242,0.0010180165409110487,3.167179261273041e-05,2.239533932879567e-05,347.1669751405716,13.062655198217074,9.236692070960997
piml-simpson,True,simpson,tiny,"32,32",1284,48,9,9,0.0,0.0,0.020103481494718127,0.0022569683308232375,0.0007523227769410792,0.020274674519896507,0.002503603323352805,0.0008345344411176017,0.0037509270736740697,0.0015473910901657492,0.0005157970300552498,69.61332371499803,5.182449930724715,1.7274833102415716
piml-simpson,True,simpson,tiny,"32,32",1284,64,9,9,0.0,0.0,0.018671409123473696,0.002805676134715834,0.0009352253782386114,0.01866941216091315,0.0029321664271554438,0.0009773888090518145,0.0030836104286006754,0.0010902719805881624,0.0003634239935293875,64.23937826686435,4.944221844272255,1.6480739480907518
piml-simpson,True,simpson,tiny,"32,32",1284,96,9,9,0.0,0.0,0.01684796479013231,0.0017451181962159453,0.0005817060654053151,0.01681461837142706,0.0017209930692942156,0.0005736643564314052,0.0023006062514873016,0.000496346415434716,0.00016544880514490532,65.20502715640598,4.534819067573253,1.511606355857751
piml-simpson,True,simpson,tiny,"32,32",1284,128,9,9,0.0,0.0,0.01632550700257222,0.0013717506712432794,0.0004572502237477598,0.016181858256459236,0.0015207017493558126,0.0005069005831186042,0.0022915834949041405,0.0003239649664921762,0.00010798832216405873,69.67022392484877,6.8868870886757465,2.295629029558582
piml-simpson,True,simpson,tiny,"32,32",1284,256,9,9,0.0,0.0,0.011074303235444758,0.0009405933079448337,0.0003135311026482779,0.010988072181741396,0.0010922288171379992,0.0003640762723793331,0.0010516283348099226,0.00015137627938989533,5.0458759796631776e-05,88.37490759955512,7.266928547824522,2.422309515941507
piml-simpson,True,simpson,tiny,"32,32",1284,384,9,9,0.0,0.0,0.008431759093784623,0.0005725602026866931,0.00019085340089556438,0.00829471523563067,0.0006146573518553257,0.00020488578395177524,0.0005415155125471453,9.138359425205487e-05,3.0461198084018293e-05,82.66106788317363,3.738742978820141,1.2462476596067138
piml-simpson,True,simpson,tiny,"32,32",1284,512,9,9,0.0,0.0,0.006968752067122195,0.0007422280080438663,0.0002474093360146221,0.006913084847231706,0.0007981655210942735,0.0002660551736980912,0.0003391121540011631,7.342380505322442e-05,2.447460168440814e-05,106.01237800386217,12.132909002714205,4.044303000904735
piml-simpson,True,simpson,tiny,"32,32",1284,1024,9,9,0.0,0.0,0.004221053897506661,0.0004054874313203833,0.00013516247710679442,0.004222800515385138,0.00041485467154038735,0.00013828489051346244,0.00011470145384211921,2.1505375723172198e-05,7.168458574390733e-06,161.80531435542636,16.13870316521859,5.37956772173953
piml-simpson,True,simpson,tiny,"32,32",1284,2048,5,5,0.0,0.0,0.0032730947714298964,0.00019482465311964573,8.712823361366887e-05,0.0032859977800399065,0.0002480355566109503,0.00011092487308381644,6.249901198316366e-05,6.9694986102625935e-06,3.1168545323274943e-06,267.5759762763977,16.695922783194096,7.466643658061896
