lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.0,piml,large,67074,4096,33,101,success,0.0007904950180090964,0.0007800382445566356,0.0007565878913737833,3.90014611184597e-06,4.206694029562641e-06,3.662972630991135e-06,55,4.036697864532471
0.0,piml,large,67074,4096,33,202,success,0.0008346298127435148,0.0008208248182199895,0.0007696005050092936,3.6330168313725153e-06,3.814706360572018e-06,3.1903721264825435e-06,65,4.417438983917236
0.0,piml,large,67074,4096,33,303,success,0.000945636595133692,0.0008725200314074755,0.0008690418326295912,4.571464614855358e-06,4.567194991977885e-06,4.1903058445313945e-06,49,3.7716572284698486
0.0,piml,small,4482,1024,11,101,success,0.002363665262237191,0.002422382589429617,0.0021094540134072304,3.894623660016805e-05,3.8984893762972206e-05,2.965800740639679e-05,383,7.25229549407959
0.0,piml,small,4482,1024,11,202,success,0.002018548548221588,0.0020162160508334637,0.0017523744609206915,2.4638789909658954e-05,2.491793748049531e-05,1.7338657926302403e-05,391,6.590019226074219
0.0,piml,small,4482,1024,11,303,success,0.0021013941150158644,0.0021375755313783884,0.001803439692594111,2.7322899768478237e-05,2.7208810934098437e-05,1.9290309865027666e-05,397,5.881209373474121
0.0,piml,small,4482,1024,22,101,success,0.0022667688317596912,0.002296599792316556,0.0019380375742912292,3.383161674719304e-05,3.332475171191618e-05,2.2509890186483972e-05,398,6.586293458938599
0.0,piml,small,4482,1024,22,202,success,0.0018782706465572119,0.0019400514429435134,0.0017297678859904408,2.467355261615012e-05,2.6436278858454898e-05,1.749750845192466e-05,398,6.845025539398193
0.0,piml,small,4482,1024,22,303,success,0.0019293506629765034,0.0019441577605903149,0.0016339253634214401,2.3635242541786283e-05,2.3826840333640575e-05,1.4801401448494289e-05,384,6.468350410461426
0.0,piml,small,4482,1024,33,101,success,0.0021746382117271423,0.002106285421177745,0.0018708455609157681,3.458098944975063e-05,3.480212762951851e-05,2.3638001948711462e-05,397,7.343223810195923
0.0,piml,small,4482,1024,33,202,success,0.0019538134802132845,0.001844202633947134,0.0016776947304606438,2.4054494133451954e-05,2.3520466129411943e-05,1.6137990314746276e-05,386,7.084640979766846
0.0,piml,small,4482,1024,33,303,success,0.002161954063922167,0.002074073301628232,0.0017590427305549383,2.605667214083951e-05,2.746137215581257e-05,1.77748006535694e-05,387,7.069441795349121
0.0,piml,small,4482,128,11,101,success,0.0055546872317790985,0.0055913464166224,0.003623366355895996,0.00028172004385851324,0.00027415482327342033,0.00014873217151034623,399,3.4808759689331055
0.0,piml,small,4482,128,11,202,success,0.006613795179873705,0.006772847846150398,0.004377156961709261,0.0003281582903582603,0.00032931927125900984,0.00011976245150435716,399,3.1865923404693604
0.0,piml,small,4482,128,11,303,success,0.006155746057629585,0.006618511863052845,0.004046183545142412,0.0003593047149479389,0.00039469185867346823,9.073797264136374e-05,399,3.233739137649536
